name,website,investor_count,funding_count,funding_last_type,funding_last_date,valuation_date,revenue_year,funding_total_numeric_millions,funding_last_numeric_millions,valuation_numeric_millions,revenue_total_numeric_millions
SynFutures,https://synfutures.com,12,3,Series B,2023-10-19,,,37.4,22.0,,
GoStudent,https://gostudent.org,15,11,Line of Credit,2023-08-04,2022-01,,779.79,95.0,3500.0,
Paleo,https://paleo-taste.com,6,2,Series A,2023-02-21,,,15.06,12.8,,
The Sill,https://thesill.com,6,5,Loan,2020-05-01,,,8.19,0.68,,
Fudo,https://fudoapp.com,1,5,Other Investors,,,,26.0,13.0,,
PayMongo,https://paymongo.com,16,5,Series B,2022-02-21,,,45.85,31.0,,
Elodie Games,https://elodie.games,5,3,Series A - II,2023-12-27,,,41.54,4.04,,
Locale,https://staywithlocale.com,5,2,Series A,2020-01-13,,,13.5,11.0,,
Workweek,https://workweek.com,8,4,Series A,2024-04-19,,,22.94,12.5,,
Bit,https://bit.dev,1,1,Series B,2021-11-16,,,25.0,25.0,,
Upflow,https://upflow.nz,1,5,Grant,2019-05-06,,,26.0,13.0,,
Hyalex Orthopaedics,https://hyalex.com,10,7,Series B,2024-10-02,,,48.12,14.87,,
Shieldpay,https://shieldpay.com,7,4,Seed VC,2018-06-01,,,6.52,6.4,,
Edurino,https://edurino.com,14,3,Series A,2023-03-01,,,14.96,11.15,,
Artificial Labs,https://artificial.io,9,7,Series A - II,2024-02-06,,,27.46,10.05,,
Mejuri,https://mejuri.com,10,5,Series B,2019-04-25,,,28.68,23.0,,
LynxCare,https://lynx.care,9,7,Series A,2022-06-23,,,26.42,21.05,,
Taimi,https://taimi.love,4,5,Other Investors,,,,26.0,13.0,,
Qolo,https://qolo.io,1,2,Series A,2021-08-25,,,15.0,15.0,,
byrd,https://getbyrd.com,13,7,Series C,2022-05-10,,,81.64,56.0,,
Greenlite,https://,1,5,Acquired,2018-06-07,,,26.0,13.0,,
ContraForce,https://contraforce.com,3,3,Incubator/Accelerator,2024-05-02,,,2.13,13.0,,
Highbeam,https://highbeam.co,4,2,Debt,2023-02-13,,,17.0,10.0,,
Coadjute,https://coadjute.com,10,6,Series A,2024-04-02,,,26.44,12.56,,
DUST Identity,https://dustidentity.com,10,5,Series B,2023-12-05,,,52.3,40.0,,
Avant,https://,2,5,Other Investors,,,,26.0,13.0,,
Gearflow,https://gearflow.com,13,3,Series A,2022-09-01,,,9.62,5.52,,
Capsule,https://capsuleapp.dk,3,1,Seed VC,2023-03-15,,,0.63,0.63,,
ShoppingGives,https://shoppinggives.com,12,7,Unattributed VC,2022-06-23,,,30.78,8.5,,
Dobot,https://thedobotapp.com,2,5,Acquired,2019-02-11,,,26.0,13.0,,
Kyt,https://kyt.academy,9,3,Series A,2021-01-06,,,7.5,5.0,,
Elo,https://elo.health,13,3,Series A,2023-01-24,,,19.23,14.23,,
Penfold,https://getpenfold.com,8,7,Incubator/Accelerator,2022-10-05,2022-08,,19.41,13.0,52.09,
Veritonic,https://veritonic.com,14,5,Angel,2022-06-28,,,14.41,0.11,,
ShipBob,https://shipbob.com,14,9,Series E,2021-06-29,,2020,331.1,200.0,,127.3
Soona,https://soona.co,11,9,Series B - II,2023-07-08,2021-04,,53.12,2.58,45.0,
Glue,https://gluehome.com,10,5,Series C,2019-06-24,2017-11,2017,15.97,5.37,15.56,0.38
SpectrumAi,https://spectrumai.com,5,2,Series A,2023-03-16,2022-06,,29.0,20.0,23.0,
Swan,https://illoveswan.com,1,1,Seed,2014-03-07,,,0.02,0.02,,
Opkit,https://opkit.co,5,2,Seed VC,2023-03-07,,,1.13,1.0,,
Aesyra,https://aesyra.com,9,7,Seed VC,2023-12-13,,,3.14,3.0,,
Ampersand,https://ampersand.solar,22,15,Series A - III,2024-08-29,,,36.24,2.0,,
Brigit,https://hellobrigit.com,15,5,Series A,2021-01-20,2019-05,2020,37.6,35.0,150.0,30.0
Sorare,https://sorare.com,31,10,Angel - III,2022-11-09,2021-09,,737.14,13.0,4300.0,
GPS Renewables,https://gpsrenewables.com,16,3,Debt,2024-04-16,,,73.0,50.0,,
FEMSelect,https://femselect.com,10,5,Series B,2022-10-19,,,9.58,9.0,,
ClearEstate,https://clearestate.com,6,3,Corporate Minority,2024-10-01,,,15.3,13.0,,
Project44,https://project44.com,23,11,Series F - II,2022-09-27,2022-01,2022,879.3,81.1,2620.0,44.0
Viably,https://runviably.com,6,3,Debt,2023-11-02,,,71.0,50.0,,
Odyssey,https://odysseyenergysolutions.com,12,4,Series A,2023-05-18,,,29.4,15.0,,
RapidSOS,https://rapidsos.com,35,14,Series C - III,2024-03-05,,,346.3,75.0,,
Chainguard,https://chainguard.dev,18,4,Series C,2024-07-25,,,256.0,140.0,,
Carputty,https://carputty.com,14,5,Debt,2024-03-06,,,99.5,75.0,,
Uptycs,https://uptycs.com,7,4,Series C,2021-05-26,,,93.0,50.0,,
Reggora,https://reggora.com,6,6,Incubator/Accelerator,2022-04-05,,,43.77,13.0,,
Kepler Communications,https://kepler.space,14,7,Series C,2023-04-13,,,174.96,92.0,,
Bluejay Therapeutics,https://,9,1,Unattributed,2021-06-17,,,19.24,19.24,,
ClimateView,https://climateview.global,17,4,Series B,2023-06-13,,,30.42,15.1,,
Atidot,https://atidot.com,8,5,Incubator/Accelerator - II,2022-10-13,,,5.75,13.0,,
Novoron Bioscience,https://novoron.com,4,6,Seed VC - III,2022-12-19,,,18.84,12.13,,
Vertice,https://vertice.one,8,2,Series B,2024-01-17,,,51.0,25.0,,
Curio,https://curio.onl,1,1,Grant,2017-11-08,,,0.02,0.02,,
Toolio,https://toolio.com,5,2,Series A,2021-10-21,,,10.3,8.0,,
Grazzy,https://grazzy.com,5,2,Seed VC - II,2024-07-25,,,8.25,4.0,,
Avibra,https://avibra.com,3,4,Unattributed VC,2024-10-03,,,13.56,3.16,,
Ayble Health,https://ayblehealth.com,4,1,Seed VC,2022-11-16,,,4.6,4.6,,
Barte,https://barte.com,7,6,Series A,2024-10-04,2023-03,,16.35,8.0,18.01,
ION Energy,https://ionenergy.co,9,4,Seed VC,2021-07-01,,,26.04,25.0,,
LevelTen Energy,https://leveltenenergy.com,22,10,Series D,2024-07-16,,,146.06,65.0,,
Push Security,https://pushsecurity.com,15,2,Series A,2023-04-03,,,19.0,15.0,,
UnaBiz,https://unabiz.com,10,6,Series B - III,2024-08-08,,,90.0,25.0,,
Hometime,https://hometime.io,5,4,Series B,2024-05-01,,,16.44,6.57,,
Ediphi,https://ediphi.com,2,2,Series A,2024-03-21,,,18.5,12.0,,
Akridata,https://akridata.ai,11,3,Series A,2021-10-05,,,15.0,15.0,,
IrisVision,https://irisvision.com,2,3,Series A,2021-09-13,,,11.86,11.66,,
PlanetWatchers,https://planetwatchers.com,5,2,Series A,2022-09-26,,,14.5,11.0,,
SocialSuite,https://socialsuitehq.com,5,4,Series A,2022-03-05,,,5.64,3.11,,
Flybuy,https://flybuy.com,5,13,Series D - III,2024-01-02,,,48.96,0.28,,
Compt,https://compt.io,4,3,Series A,2022-04-14,,,15.5,13.0,,
Telda,https://telda.app,6,3,Seed VC,2022-10-12,,,25.0,20.0,,
Livly,https://livly.io,7,4,Private Equity,2024-08-14,,,28.68,10.0,,
Zolar,https://zolar.de,15,8,Loan,2024-04-08,,,304.64,108.33,,
eBanqo,https://ebanqo.com,5,3,Seed,2023-09-12,,,0.25,0.25,,
Koywe,https://koywe.com,9,3,Incubator/Accelerator,2024-03-17,,,2.1,13.0,,
New Era ADR,https://neweraadr.com,18,4,Seed VC - II,2023-11-10,,,5.8,13.0,,
Surglogs,https://surglogs.com,3,3,Series A,2021-11-29,,,16.37,10.37,,
Wellth,https://wellthapp.com,23,9,Series B,2023-03-31,,,37.22,20.0,,
Found,https://,8,4,Acquired,2002-10-16,,,45.0,13.0,,
Valsoft,https://valsoftcorp.com,2,2,Unattributed,2024-01-19,,,79.68,13.0,,
SonicIncytes,https://sonicincytes.com,16,5,Series B,2023-01-18,,,9.84,13.0,,
Fortanix,https://fortanix.com,7,5,Series C,2022-08-11,,,135.25,90.0,,
Evidation,https://evidation.com,15,7,Series E,2021-03-22,,,259.18,153.0,,
Pixelgen Technologies,https://pixelgen.com,2,2,Series A,2023-10-09,,,13.3,7.3,,
Chronus Health,https://chronushealth.com,6,7,Debt - II,2024-01-18,,,26.6,2.17,,
Brightflow AI,https://brightflow.ai,11,5,Debt,2022-09-21,,,119.4,100.0,,
Horizon Quantum Computing,https://horizonquantum.com,11,5,Seed,2023-10-23,,,33.34,13.0,,
Liftit,https://liftit.co,15,5,Series B,2020-07-08,,,44.93,22.5,,
Bumper,https://bumper.one,1,1,Convertible Note,2023-02-27,,,0.5,0.5,,
PERQ,https://perq.com,8,5,Series A - II,2019-05-30,,,14.27,6.0,,
Yes Hearing,https://yeshearing.com,5,1,Series A,2022-11-04,,,10.0,10.0,,
Chili Piper,https://chilipiper.com,5,5,Unattributed,2021-11-04,,2021,64.84,10.0,,14.0
Contextual AI,https://contextual.ai,18,2,Series A,2024-08-01,,,100.0,80.0,,
Abcuro,https://abcuro.com,16,5,Series B,2023-08-17,,,214.85,155.0,,
Zenas BioPharma,https://zenasbio.com,21,4,IPO,2024-09-13,,,318.0,225.0,,
Kindo,https://kindo.com,4,5,Seed,2008-02-20,,,26.0,13.0,,
Neuromod Devices,https://neuromoddevices.com,8,10,Debt - III,2023-04-13,,,64.01,16.52,,
Salvy,https://salvy.com.br,5,4,Seed VC - II,2024-05-13,2023-01,,3.04,1.94,5.0,
ChangeEngine,https://changeengine.com,7,2,Series A,2024-05-08,,,15.5,10.0,,
Hazelcast,https://hazelcast.com,8,7,Series D - II,2020-02-11,,,88.2,50.0,,
Rippling,https://rippling.com,28,10,Series F,2024-04-22,2023-03,,1397.0,200.0,11250.0,
Greenlyte Carbon Technologies,https://greenlyte.tech,8,4,Seed VC,2024-03-06,,,19.84,11.42,,
CureSkin,https://cureskin.com,9,6,Series B,2024-03-13,,,26.62,20.0,,
Basking Biosciences,https://baskingbiosciences.com,10,3,Series A,2023-11-10,,,62.3,55.0,,
Cover Genius,https://covergenius.com,11,7,Series E,2024-05-15,2021-09,,240.5,80.0,729.0,
Skydance Media,https://skydance.com,5,6,Private Equity - II,2022-10-13,2020-02,,2475.0,400.0,2300.0,
Hasura,https://hasura.io,11,5,Series C,2022-02-22,,,136.51,100.0,,
Haystack,https://thehaystackapp.com,1,2,Seed VC,2017-05-02,,,0.84,13.0,,
Lucid,https://lucid.co,23,7,Secondary Market,2021-06-29,2020-04,2020,166.0,500.0,852.0,100.0
Qnovo,https://qnovo.com,8,5,Series C,2022-01-12,,,32.6,24.0,,
NirogStreet,https://nirogstreet.com,27,7,Convertible Note,2023-11-30,,,24.8,3.0,,
Chefclub,https://chefclub.tv,8,3,Series A,2021-01-25,,,20.66,17.0,,
Kasheesh,https://kasheesh.co,12,3,Seed VC - II,2023-02-09,,,9.0,3.5,,
Lean,https://leantech.me,13,6,Series A,2022-01-20,,,36.5,33.0,,
Skyways,https://skyways.com,6,3,Seed VC - II,2018-01-01,,,1.72,13.0,,
SESAMm,https://sesamm.com,20,9,Series B - II,2023-03-01,,,55.21,37.37,,
Zennify,https://zennify.com,2,2,Series A,2021-12-02,,,7.5,7.5,,
Naboo,https://,2,1,Seed VC,2022-06-03,,,2.14,2.14,,
Redefine Meat,https://redefinemeat.com,11,7,Series B,2022-01-23,,,170.07,135.0,,
Caraway,https://carawayhome.com,18,4,Debt,2023-03-01,,,42.1,13.0,,
Quinio,https://quinio.io,9,4,Series A,2022-11-03,,,66.0,15.5,,
Five Sigma,https://fivesigmalabs.com,7,3,Series A - II,2022-01-19,,,12.0,13.0,,
NanoNets,https://nanonets.com,20,6,Series B,2024-03-12,,,40.62,29.0,,
Thinknum,https://thinknum.com,6,3,Series A,2019-03-20,,,12.62,11.6,,
Daupler,https://daupler.com,7,7,Series A - IV,2023-02-24,,,11.4,0.51,,
Treeline Biosciences,https://treeline.bio,8,2,Series A - II,2022-10-11,,,473.67,262.0,,
Zenarate,https://zenarate.com,2,3,Series A,2023-06-27,,,15.26,15.0,,
Federated Wireless,https://federatedwireless.com,15,10,Grant,2023-10-02,,,214.2,5.0,,
Odeko,https://odeko.com,15,8,Series D,2023-04-18,2021-08,,176.2,53.0,200.0,
Kanastra,https://kanastra.com.br,18,6,Series A,2024-06-05,2023-01,,41.05,20.85,5.06,
Princeton NuEnergy,https://pnecycle.com,18,12,Series A - III,2024-06-17,,,55.1,3.7,,
BIGC,https://bigc.im,11,7,Bridge,2024-08-01,,,11.22,3.66,,
StormX,https://stormx.io,9,8,Incubator/Accelerator - III,2021-09-16,,,15.72,13.0,,
EnsoData,https://ensodata.com,15,7,Series A - II,2022-04-28,,,31.36,20.0,,
Cedar,https://cedar.com,20,6,Series D - II,2022-12-19,2021-03,,350.81,13.0,3200.0,
Zoe,https://zoe.menu,1,5,Incubator/Accelerator,2017-10-24,,,26.0,13.0,,
Great Jones,https://greatjones.co,7,3,Acquired,2021-08-25,,,8.0,13.0,,
Capital Rx,https://cap-rx.com,18,9,Series E,2024-03-21,,,336.68,115.0,,
StethoMe,https://stethome.com,12,11,Grant - II,2020-11-01,,,7.9,1.2,,
Anomali,https://anomali.com,11,6,Series D,2018-01-10,,,96.0,40.0,,
LuxWall,https://luxwall.com,6,3,Grant,2023-11-28,,,70.72,31.7,,
Ultromics,https://ultromics.com,15,7,Series B,2021-08-16,,,57.7,33.0,,
Tamatem,https://tamatem.co,22,11,Unattributed,2024-03-21,,2021,22.5,13.0,,5.3
Corezoid,https://corezoid.com,1,5,Incubator/Accelerator,2017-08-22,,,26.0,13.0,,
Zeffy,https://zeffy.com,2,1,Pre-Seed,2021-09-01,,,2.9,2.9,,
SweepSouth,https://sweepsouth.com,15,8,Series D,2022-09-26,,,17.09,11.0,,
HoxHunt,https://hoxhunt.com,4,3,Series B,2022-05-31,,,42.89,40.0,,
RefleXion,https://reflexion.com,18,9,Series F,2023-11-15,,,633.6,105.0,,
Ubco,https://ubco.com,7,3,Series B,2021-09-27,,2020,20.84,10.0,,2.1
Sova Health,https://sova.health,7,5,Incubator/Accelerator - II,2023-06-08,,,0.43,13.0,,
Kobiton,https://kobiton.com,9,8,Series A - IV,2023-11-06,,,37.36,2.86,,
Finovox,https://finovox.com,8,3,Seed VC - II,2024-06-03,,,6.2,4.33,,
Cooby,https://cooby.co,5,3,Seed VC - II,2024-06-14,,,5.67,1.77,,
Velocity,https://,9,1,Series D,1995-10-01,,,4.0,4.0,,
SupplyHive,https://,7,3,Seed VC,2021-10-14,,,4.0,2.0,,
Vahak,https://vahak.in,31,5,Series A,2022-06-21,,,19.0,14.0,,
Linktree,https://linktr.ee,9,4,Corporate Minority,2022-11-01,2022-03,2022,176.2,10.5,1300.0,25.0
Measurabl,https://measurabl.com,23,11,Series D,2023-05-31,2018-12,,187.25,93.0,60.29,
Payaut,https://payaut.com,6,4,Incubator/Accelerator,2022-11-07,,,12.84,13.0,,
StoreCash,https://storecashapp.com,8,3,Seed VC - II,2024-04-01,,,5.34,2.34,,
Front Office Sports,https://frontofficesports.com,5,5,Unattributed,2023-10-10,2023-10,,12.65,12.65,40.0,
Le Collectionist,https://lecollectionist.com,17,4,Series C,2022-12-02,,,75.04,62.84,,
Smartpricing,https://smartpricing.it,8,5,Line of Credit,2023-12-14,,,17.44,2.2,,
Mayan,https://mayan.co,6,2,Series A,2023-03-14,,,7.0,5.0,,
Plural,https://,2,2,Acquired,2002-05-17,,,20.0,13.0,,
TissueLabs,https://tissuelabs.com,4,3,Incubator/Accelerator,2024-03-27,,,1.1,13.0,,
Labrador Systems,https://labradorsystems.com,9,6,Seed VC - II,2022-01-04,,,5.36,3.1,,
Fanimal,https://fanimal.com,3,2,Seed VC,2022-05-25,,,4.15,4.0,,
Crosschq,https://crosschq.com,19,7,Series A - III,2021-11-17,,,35.1,13.0,,
Bytelearn,https://bytelearn.com,15,2,Seed,2022-02-24,,,9.5,13.0,,
Decentro,https://decentro.tech,16,6,Series A,2022-11-01,,,4.83,4.7,,
Amaka,https://amaka.com,3,2,Seed VC,2021-12-03,,,3.5,3.5,,
Stability AI,https://stability.ai,14,5,Series A,2024-06-25,2022-10,,231.0,80.0,1000.0,
Yonder,https://yonderhq.com,2,5,Acquired,2024-06-18,,,26.0,13.0,,
D3 Bio,https://d3bio.com,6,2,Series A - II,2024-04-08,,,240.0,40.0,,
Swipe,https://swipe.de,1,5,Acquired,2015-06-30,,,26.0,13.0,,
Zipline,https://wearezipline.com,1,5,Incubator/Accelerator,2019-10-01,,,26.0,13.0,,
Trustmi,https://trustmi.ai,6,3,Incubator/Accelerator,2024-05-05,,,21.0,13.0,,
Urban Sky,https://urbansky.com,12,6,Series A,2023-10-16,,,15.26,9.75,,
Hello Heart,https://helloheart.com,17,6,Series D,2022-05-02,2019-07,,138.0,70.0,54.0,
Lendio,https://lendio.com,16,8,Incubator/Accelerator,2020-11-10,,,109.5,13.0,,
Guidewheel,https://guidewheel.com,7,6,Series B,2024-08-13,,,51.98,31.0,,
Tidio,https://tidio.com,6,5,Series B,2022-05-12,2019-11,,27.0,25.0,20.68,
Alaffia Health,https://alaffiahealth.com,12,4,Series A,2024-04-05,,,15.1,10.0,,
Allumia,https://allumia.com,7,7,Debt,2022-09-19,,,51.67,1.5,,
Fabric8Labs,https://fabric8labs.com,14,8,Series B,2023-02-07,,,73.35,50.0,,
Hypersonix,https://hypersonix.ai,7,3,Series B,2021-06-30,2020-05,,46.5,35.0,50.0,
Equabli,https://equabli.com,3,4,Seed VC,2024-06-04,,,4.0,13.0,,
UBQ Materials,https://ubqmaterials.com,9,8,Grant,2024-09-27,,,245.58,5.58,,
Turtlemint,https://turtlemint.com,13,6,Series E,2022-04-29,,,197.0,120.0,,
Sunroom Rentals,https://sunroomrentals.com,8,2,Series A,2021-02-23,,,12.5,11.0,,
Virtualness,https://virtualness.io,18,2,Seed VC - II,2023-09-21,,,8.0,13.0,,
Cortex,https://groupe-cortex.com,1,5,Management Buyout,2018-11-26,,,26.0,13.0,,
Darwinbox,https://darwinbox.com,12,8,Series D - III,2023-01-17,2022-01,,115.37,13.0,1000.0,
Mend,https://letsmend.com,2,2,Seed VC,2017-08-24,,,1.0,1.0,,
CaPow,https://capow.energy,6,1,Seed VC,2023-02-13,,,7.5,7.5,,
Yik Yak,https://yikyak.com,9,6,Acquired,2023-03-17,2017-04,,73.52,13.0,1.0,
Prismm,https://prismm.com,7,4,Debt,2023-08-29,,,39.4,20.0,,
HomeLight,https://homelight.com,21,15,Series D - III,2024-08-26,2022-06,2021,674.6,20.0,1700.0,300.0
LUNAR,https://lunar.com,1,5,Acquired,2015-05-14,,,26.0,13.0,,
Mundimoto,https://mundimoto.com,7,5,Series B - III,2024-05-30,,,39.89,13.0,,
24M Technologies,https://24-m.com,15,13,Series H,2024-09-05,,,253.83,87.0,,
Presagen,https://presagen.com,3,2,Seed VC,2019-04-26,,,3.2,3.2,,
Climax Foods,https://climax.bio,14,5,Bridge,2024-09-04,,,7.5,13.0,,
LightForce,https://lf.co,12,6,Debt,2024-09-04,,,199.15,50.0,,
Anomaly,https://anomaly.co.jp,6,2,Unattributed,2024-07-09,,,5.24,1.73,,
BioMap,https://biomap.com,8,2,Series B,2024-06-24,,,100.0,13.0,,
Preemadonna,https://preemadonna.com,17,8,Seed VC - II,2021-01-26,,,8.09,5.6,,
WorkOS,https://workos.com,21,3,Series B,2022-06-01,,,95.0,80.0,,
Smiler,https://smiler.co,5,2,Seed VC - II,2023-06-08,,,16.5,8.5,,
Mosaic,https://mosaicdp.com,1,1,Angel,2022-01-24,,,10.0,10.0,,
GetAccept,https://getaccept.com,9,4,Series B,2020-12-07,,2017,28.75,20.0,,0.9500000000000001
Vertalo,https://vertalo.com,14,3,Series A,2021-05-26,,,5.1,5.0,,
Elpha,https://elpha.com,12,4,Seed VC,2019-11-06,2019-02,,1.25,1.1,2.14,
Leocare,https://leocare.eu,9,6,Series B,2021-11-23,,,136.8,13.0,,
GetHarley,https://getharley.com,4,2,Series B,2023-06-07,,,67.0,52.0,,
Endear Health,https://endearhealth.com,4,4,Series A,2023-08-09,,,19.5,8.0,,
Odilo,https://odilo.es,9,5,Series C,2022-06-01,,,84.55,64.0,,
Rainforest,https://rainforest.life,9,5,Convertible Note,2023-10-04,,,123.0,21.5,,
StoreHub,https://storehub.com,7,6,Series A - III,2022-09-21,,,23.25,13.5,,
Ai Build,https://ai-build.com,8,5,Series A,2023-10-19,,,12.94,8.5,,
Abridge,https://,3,3,Unattributed VC,2001-07-01,,,8.14,0.14,,
Magic,https://getmagic.com,2,2,Series A,2015-05-01,,,0.12,13.0,,
AccurKardia,https://accurkardia.com,4,3,Incubator/Accelerator - II,2024-05-29,,,4.11,13.0,,
Visibly,https://visibly.io,1,5,Other Investors,,,,26.0,13.0,,
Gitpod,https://gitpod.io,11,3,Series A,2022-11-03,,,41.0,25.0,,
54gene,https://54gene.com,19,11,Dead,2023-09-27,2022-10,,44.65,13.0,50.0,
Nagish,https://nagish.com,9,3,Series A,2024-07-10,,,11.12,11.0,,
Helius,https://helius.com,1,5,Acquired,2008-02-11,,,26.0,13.0,,
Kinetik,https://,1,2,Dead,2012-01-02,,,0.02,13.0,,
Mile Auto,https://mileauto.com,8,10,Series A,2023-12-11,,,19.92,4.22,,
RedStone,https://redstone.finance,38,4,Series A,2024-07-02,,,22.88,15.0,,
everstox,https://everstox.com,5,3,Series A,2021-11-25,,,25.99,22.43,,
LearnWorlds,https://learnworlds.com,2,2,Series A,2021-07-15,,,33.11,32.0,,
DeepL,https://deepl.com,10,4,Series B,2024-05-22,2023-01,,400.0,300.0,1000.0,
Subskribe,https://subskribe.com,53,2,Series A,2022-02-18,2021-01,,21.4,18.4,8.0,
Machinify,https://machinify.com,4,3,Loan,2020-04-30,,,10.68,0.68,,
Pocket FM,https://pocketfm.com,12,6,Series D,2024-03-15,,2023,212.73,103.0,,150.0
Eloelo,https://eloelo.in,18,5,Series A - II,2023-09-20,,,37.55,22.0,,
All G Foods,https://allgfoods.com,3,3,Series A,2022-08-04,,,29.22,17.42,,
Tiney,https://tiney.co,7,3,Series A - II,2024-05-13,,,15.52,9.02,,
Endel,https://endel.io,13,6,Series B,2022-04-05,,,20.42,15.0,,
Armilla AI,https://armilla.ai,12,5,Seed VC - II,2024-01-09,,,5.33,3.33,,
Hiboo,https://hiboo.io,9,6,Unattributed VC,2023-12-06,,,10.87,10.18,,
Flatfile,https://flatfile.com,14,4,Series B,2022-03-11,,,94.7,50.0,,
RouteThis,https://routethis.com,5,1,Series A,2022-02-22,,,19.58,19.58,,
Aardvark Therapeutics,https://aardvarktherapeutics.com,17,4,Series C,2024-05-09,,,129.0,85.0,,
RevenueCat,https://revenuecat.com,14,5,Series C,2024-04-25,2021-05,,68.62,12.0,300.0,
RoGO,https://rogofire.com,1,5,Incubator/Accelerator,2021-06-04,,,26.0,13.0,,
Stytch,https://stytch.com,11,3,Series B,2021-11-18,2021-07,,126.0,90.0,200.0,
Koya Medical,https://koyamedical.com,13,6,Series C,2023-11-15,,,37.24,13.0,,
Flyability,https://flyability.com,19,15,Series C - III,2023-03-03,,,42.93,13.0,,
Flinks,https://flinks.com,9,5,Corporate Majority,2021-08-25,,,13.65,81.66,,
BYHOURS,https://byhours.com,13,9,Series D,2023-11-20,,,34.55,13.0,,
theSkimm,https://theskimm.com,23,8,Loan,2020-04-09,2018-03,,31.89,3.5,100.0,
Convene,https://convene.com,16,7,Corporate Majority,2022-04-12,2018-07,2018,265.5,500.0,500.0,75.5
Prelude,https://prelude.co,2,2,Acquired,2022-09-27,,,1.2,13.0,,
Aprende Institute,https://aprende.com,16,5,Series B,2021-10-11,2021-03,,29.18,22.0,38.0,
Flow,https://flownetworks.io,1,5,Seed,2023-03-09,,,26.0,13.0,,
Element,https://discoverelement.com,4,2,Series A,2018-04-11,,,12.0,12.0,,
FAVE,https://,1,5,Acquired,2019-07-10,,,26.0,13.0,,
Headspace,https://headspace.com,24,13,Corporate Minority,2024-03-06,,,322.11,13.0,,
Karma,https://karmahq.xyz,1,2,Option/Warrant,2022-03-23,,,0.5,1.06,,
Biome Makers,https://biomemakers.com,12,9,Grant - II,2022-10-20,,,22.94,1.6,,
Qbiq,https://qbiq.ai,6,2,Seed VC,2023-09-20,,,10.0,10.0,,
Seurat Technologies,https://seuratech.com,16,6,Series C,2023-10-30,,,177.91,99.0,,
Arccos Golf,https://arccosgolf.com,7,2,Series C,2023-08-15,,,20.0,20.0,,
Nanochon,https://nanochon.com,14,13,Incubator/Accelerator - VI,2024-05-29,,,10.47,13.0,,
LineVision,https://linevisioninc.com,12,7,Series C,2022-10-03,,,50.05,33.0,,
Velotix,https://velotix.ai,6,6,Seed VC - III,2024-05-21,,,10.25,13.0,,
Treasury Prime,https://treasuryprime.com,12,5,Series C - II,2023-02-01,2020-05,,103.19,40.0,40.0,
Finaloop,https://finaloop.com,7,3,Series A,2024-06-17,2021-10,,52.0,35.0,60.0,
Datalogz,https://datalogz.io,11,4,Seed VC - II,2023-12-01,,,7.52,5.02,,
Predibase,https://predibase.com,10,4,Series A - II,2023-05-31,2022-05,,28.45,12.2,75.0,
Ritual,https://ritual.com,8,4,Series B,2019-02-05,,,40.3,25.0,,
Elypta,https://elypta.com,14,8,Grant - III,2023-03-29,,,31.5,1.0,,
Centricity,https://centricityinsights.com,2,5,Acquired,2021-06-21,,,26.0,13.0,,
Tynt Technologies,https://tynt.io,6,6,Series A,2023-04-28,,,15.57,7.07,,
Floom,https://floom.com,8,4,Seed VC - II,2022-02-28,,,3.15,13.0,,
Pipedream Labs,https://pipedreamlabs.co,6,5,Seed VC - II,2023-11-07,,,14.72,13.0,,
Zedify,https://zedify.co.uk,7,5,Incubator/Accelerator,2024-09-17,,,13.06,13.0,,
Spyderbat,https://spyderbat.com,4,2,Series A,2022-10-25,,,14.2,10.0,,
Onego Bio,https://onego.bio,12,9,Incubator/Accelerator,2024-09-27,,,71.13,13.0,,
Chairish,https://chairish.com,17,7,Series B - II,2023-06-01,,,58.79,9.09,,
WUZZUF,https://wuzzuf.net,1,5,Other Investors,,,,26.0,13.0,,
Bcomp,https://bcomp.com,11,5,Series C,2024-04-16,,,78.23,40.0,,
Airly,https://airly.org,21,6,Series A,2022-11-10,,,12.24,5.5,,
Workboard,https://workboard.com,13,5,Series D,2021-05-04,2020-01,2020,140.05,75.0,230.0,36.0
BuildClub,https://buildclub.com,3,4,Incubator/Accelerator,2023-12-06,,,4.58,13.0,,
EPIC,https://workwithepic.org,2,2,Seed,2013-05-17,,,0.01,0.01,,
Kindred Motorworks,https://kindredmotorworks.com,6,3,Series A,2022-08-22,,,20.0,15.0,,
Teachmint,https://teachmint.com,11,6,Series B,2021-10-25,,,118.0,78.0,,
Cargobase,https://cargobase.com,5,2,Series A,2022-09-19,,,0.35000000000000003,13.0,,
Lucidya,https://lucidya.com,8,3,Series B,2022-01-19,,,7.1,6.0,,
Kuli Kuli,https://kulikulifoods.com,19,11,Debt - II,2022-08-23,,,12.3,1.3,,
Behavox,https://behavox.com,5,5,Series C,2020-02-24,2017-11,,121.4,100.0,200.0,
Lightbend,https://lightbend.com,13,9,Unattributed VC - II,2023-09-28,,,83.51,4.01,,
FruitSpec,https://fruitspec.com,9,3,Grant,2022-01-25,,,9.0,13.0,,
Klaxoon,https://klaxoon.com,10,4,Unattributed VC,2023-02-19,,,72.12,16.03,,
Divvy,https://divvyhomes.com,17,9,Debt - II,2021-10-13,2021-08,,1127.0,735.0,2000.0,
SamCart,https://samcart.com,5,3,Series B,2022-04-07,,,95.0,82.0,,
Dragos,https://dragos.com,13,7,Series D - II,2023-09-18,2021-10,,438.2,74.0,1700.0,
