name,website,investor_count,funding_count,funding_total,funding_last_type,funding_last,funding_last_date,valuation,valuation_date,revenue_year,revenue_total
Knoma,https://knoma.io,7,6,59.73M,Incubator/Accelerator,,"September 8, 2022",,,,
Centerline Biomedical,https://centerlinebiomed.com,8,9,76.17M,Series B,34.68M,"June 27, 2022",,,,
Thoughtfull,https://thoughtfull.world,4,2,5.1M,Seed VC - II,4M,"March 23, 2023",,,,
Bird,https://bird.com,15,6,1.1B,Series C - II,560M,"April 28, 2021","$3,000M",October 2020,2021,500M
Coherent,https://coherent.global,6,2,89M,Series B,75M,"April 27, 2022",,,,
Chaser,https://chaserhq.com,4,1,4M,Series A,4M,"November 7, 2019",,,,
Upsolver,https://upsolver.com,5,3,45.18M,Series B,30M,"April 6, 2021",,,,
Playtomic,https://playtomic.io,7,7,76.26M,Angel - II,,"April 8, 2024",,,,
Ingresse,https://ingresse.com,13,5,32.15M,Series C,21.56M,"December 6, 2019",$1M,March 2017,,
Click Therapeutics,https://clicktherapeutics.com,13,11,142.58M,Debt - V,20M,"November 6, 2023",,,,
Jolt,https://jolt.io,7,4,23.33M,Series A - II,14.1M,"January 13, 2020",,,,
PosiGen,https://posigen.com,21,17,676.94M,Debt - III,150M,"May 16, 2024",,,,
Cylera,https://cylera.com,14,7,15.98M,Angel,0.18M,"March 2, 2023",,,,
Tive,https://tive.com,22,9,78.75M,Incubator/Accelerator - II,,"August 18, 2022",$300M,April 2022,2021,29M
Interius BioTherapeutics,https://interiusbio.com,16,5,166.08M,Series B,67M,"June 3, 2024",,,,
BigPanda,https://bigpanda.io,15,10,348.5M,Series D - II,15M,"August 17, 2022","$1,200M",January 2022,,
Belong,https://belong.co,7,2,15M,Series B,10M,"February 28, 2017",,,,
imgIX,https://imgix.com,7,5,10.7M,Loan,0.68M,"April 29, 2020",,,,
testRigor,https://testrigor.com,9,7,5.4M,Unattributed VC,,"August 7, 2024",$12.5M,August 2021,,
vidIQ,https://vidiq.com,15,5,850K,Series A,0.05M,"February 4, 2020",,,,
Chunk Foods,https://chunkfoods.com,7,4,24.5M,Seed VC - II,7.5M,"January 25, 2024",,,,
Captura,https://,15,6,78.05M,Acquired,,"July 8, 2002",,,,
LatchBio,https://latchbio.com,7,2,28M,Series A,28M,"June 2, 2022",,,,
Gorilla,https://gorilla.co,4,2,30.99M,Series B,24.7M,"June 12, 2024",,,,
Arrive Logistics,https://arrivelogistics.com,5,3,335M,Private Equity,300M,"April 28, 2021",,,,
Compado,https://compado.com,1,,,Other Investors,,,,,,
Mootral,https://mootral.com,23,9,35.63M,Incubator/Accelerator,,"May 1, 2024",$100M,November 2020,,
Novakid,https://novakidschool.com,9,5,41.5M,Series B,35M,"August 2, 2021",,,2020,9M
Triomics,https://triomics.com,5,4,15.13M,Incubator/Accelerator,,"July 2, 2024",,,,
BandLab,https://bandlab.com,4,3,90M,Series B - III,25M,"May 23, 2023",$315M,April 2022,,
Capitolis,https://capitolis.com,14,8,281.84M,Series D,110M,"March 22, 2022",,,,
Synapse Medicine,https://synapse-medicine.com,8,3,38.71M,Series B,27.87M,"March 1, 2022",,,,
Optalitix,https://optalitix.com,6,5,7.6M,Private Equity - II,3M,"September 10, 2024",,,,
bitFlyer,https://bitflyer.com,17,10,35.71M,Acquired,,"May 31, 2023",,,,
8i,https://8i.com,26,4,40.5M,Series C,,"August 5, 2019",,,,
AlgoDriven,https://algodriven.xyz,8,3,2.73M,Series A,2M,"October 7, 2021",,,,
Habyt,https://habyt.com,12,6,138.4M,Series D,44.25M,"September 9, 2024",,,,
Remarkable,https://remarkable.com,1,3,25M,Series B,,"May 10, 2022",,,,
Wren Therapeutics,https://wrentherapeutics.com,7,4,39.95M,Series B,16.95M,"January 25, 2021",,,,
Keeper,https://findkeeper.co,1,1,200K,Seed VC,0.2M,"January 15, 2015",,,,
ARTA,https://arta.ae,1,,,Biz Plan Competition,,"October 3, 2017",,,,
Finova Capital,https://finova.in,4,5,141M,Series D,65M,"March 31, 2022",,,,
Essential AI,https://essential.ai,16,3,64.5M,Series A - II,16.5M,"December 12, 2023",,,,
Lysto,https://lysto.gg,23,3,15M,Seed VC - II,12M,"August 10, 2022",,,,
Wescover,https://wescover.com,6,6,11.51M,Series A,8.08M,"August 22, 2022",,,,
Coalition,https://coalitioninc.com,16,6,770M,Series F,250M,"July 8, 2022","$3,500M",September 2021,2019,27M
MyForest Foods,https://myforestfoods.com,15,5,80.75M,Series A - III,3.5M,"February 15, 2024",,,,
Scispot,https://scispot.com,4,4,130K,Incubator/Accelerator - II,,"April 5, 2024",,,,
Equilibrium Energy,https://equilibriumenergy.com,7,3,72.5M,Series B,39M,"October 15, 2024",,,,
Eterneva,https://eterneva.com,16,7,20.85M,Series A - II,10M,"July 23, 2021",,,,
INCRMNTAL,https://incrmntal.com,4,2,5.5M,Seed VC - II,4.1M,"July 25, 2022",,,,
Nexl,https://nexl.cloud,9,4,7.01M,Series A,4.36M,"December 1, 2023",,,,
Apron,https://apron.aero,1,,,Acquired,,"September 24, 2018",,,,
UtilizeCore,https://utilizecore.com,10,4,22.03M,Series A,,"June 5, 2023",,,2021,2M
StreamNative,https://streamnative.io,4,3,23M,Series A,23M,"September 14, 2021",,,,
VoltaIQ,https://voltaiq.com,10,10,13.45M,Debt,2.03M,"March 15, 2021",,,,
Arine,https://arine.io,9,5,40.25M,Debt,29M,"August 17, 2022",,,,
Carbyon,https://carbyon.com,8,2,17.92M,Series A,16.92M,"September 3, 2024",,,,
MeMed,https://me-med.com,22,8,181.71M,Series C,93M,"January 10, 2022",,,,
ScreenPoint Medical,https://screenpoint-medical.com,5,3,33M,Series C,28M,"July 28, 2021",,,,
Pylon,https://usepylon.com,7,3,20.7M,Series A,17M,"June 18, 2024",,,,
ThreatLocker,https://threatlocker.com,8,7,239.44M,Series D,115M,"April 23, 2024",,,,
DroneDeploy,https://dronedeploy.com,14,8,141.02M,Series E,50M,"February 4, 2021",,,,
Unqork,https://unqork.com,15,7,367.17M,Series C,207M,"October 6, 2020",,,,
Volato,https://flyvolato.com,4,5,42.63M,Reverse Merger,,"December 4, 2023",,,,
Cloudline,https://flycloudline.com,9,5,6.09M,Seed VC,6M,"July 3, 2023",,,,
Praso,https://praso.com.br,6,2,9.3M,Series A,9.3M,"August 30, 2023",,,,
Bench.,https://bench.ca,2,,,Acquired,,"April 17, 2020",,,,
Ebb Carbon,https://ebbcarbon.com,7,6,23M,Grant,,"June 3, 2024",,,,
AVO,https://avoapp.com,1,1,20K,Seed,0.02M,"September 4, 2015",,,,
Cardurion,https://cardurion.com,13,6,603.15M,Series B,260M,"July 16, 2024",,,,
Factris,https://factris.com,6,7,140.22M,Line of Credit,54.89M,"April 17, 2023",,,,
Zephyr AI,https://zephyrai.bio,15,2,129.5M,Series A,111M,"March 13, 2024",,,,
Printify,https://printify.com,17,5,49.13M,Secondary Market,,"August 1, 2022",$300M,June 2021,2018,10.14M
BookClub,https://bookclub.com,6,2,26M,Series A,20M,"June 15, 2021",,,,
Merge,https://merge.money,5,1,9.5M,Seed VC,9.5M,"May 30, 2022",,,,
Fold Health,https://fold.health,8,3,12M,Seed VC - II,6M,"July 12, 2023",,,,
Michroma,https://michroma.co,22,5,6.4M,Seed VC - III,6.4M,"February 1, 2023",,,,
doctorly,https://doctorly.de,17,6,23.8M,Series A - II,7.2M,"November 9, 2023",,,,
Arc,https://arcboats.com,11,5,104.25M,Series B,70M,"September 27, 2023",,,,
Alice,https://alice.co.il,1,2,2.5M,Corporate Minority - II,1.5M,"April 24, 2018",,,,
NalaGenetics,https://nalagenetics.com,14,9,13.6M,Biz Plan Competition - II,,"May 29, 2024",,,,
MatrixSpace,https://matrixspace.com,2,2,20.1M,Series A,10M,"June 7, 2023",,,,
SuperMom,https://welovesupermom.com,6,3,19.99M,Series B,13.99M,"October 1, 2024",,,,
Stemson Therapeutics,https://stemsontx.com,5,2,22.5M,Series A,15M,"July 15, 2021",,,,
V2food,https://v2food.com,15,4,131.41M,Other Investors,,"February 24, 2023",,,,
Agora,https://agoraretail.se,1,,,Take Private,,"November 29, 2018",,,,
Included,https://included.ai,7,4,5.4M,Incubator/Accelerator - II,,"August 26, 2024",,,,
DatologyAI,https://datologyai.com,17,2,57.65M,Series A,46M,"May 8, 2024",,,,
Blackpanda,https://blackpanda.com,4,2,21.7M,Series A - II,6.7M,"September 25, 2024",,,,
Oula Health,https://oulahealth.com,16,4,50.3M,Series B,28M,"February 20, 2024",,,,
MedScout,https://medscout.io,7,2,5.8M,Seed VC,5M,"June 28, 2023",,,,
Atomwise,https://atomwise.com,17,6,176.42M,Grant,2.3M,"October 6, 2020",,,,
Flutterwave,https://flutterwave.com,44,14,474.71M,Secondary Market,,"March 7, 2023","$3,000M",February 2022,,
Curacity,https://curacity.com,8,9,16.45M,Unattributed VC,1.73M,"August 18, 2023",,,,
Neurophet,https://neurophet.com,16,9,40.29M,Series C - II,0.75M,"February 29, 2024",,,,
Strivacity,https://strivacity.com,5,2,29.3M,Series A - II,20M,"April 4, 2023",,,,
Valeo,https://feelvaleo.com,5,2,3M,Seed VC,3M,"June 15, 2021",,,,
Morressier,https://morressier.com,6,4,40.77M,Series B,16.5M,"January 23, 2024",,,,
Bone Health Technologies,https://bonehealthtech.com,15,6,10.78M,Series B,5M,"May 9, 2023",,,,
Jasper,https://jasper.ai,12,6,125M,Series A,125M,"October 17, 2022",,,2022,90M
Primer,https://primer.ai,15,8,233.7M,Incubator/Accelerator - III,,"October 26, 2023",,,,
MindImmune Therapeutics,https://mindimmune.com,7,2,13.25M,Series A,12.5M,"February 4, 2022",,,,
QuotaPath,https://quotapath.com,8,7,67.55M,Series B,41M,"April 25, 2022",,,,
CLASSUM,https://classum.com,8,5,17.8M,Series A - III,11M,"October 11, 2022",,,,
GetLinks,https://getlinks.co,11,9,650K,Seed VC - II,,"January 12, 2021",,,,
Intrinsic,https://intrinsic.com,5,,,Acquired,,"August 21, 2019",,,,
Bubblehouse,https://bubblehouse.com,7,2,13M,Seed VC - II,9M,"May 24, 2022",,,,
Cape Privacy,https://capeprivacy.com,16,3,25.06M,Series A,20M,"April 20, 2021",,,,
Choice,https://choicetopay.com,2,2,730K,Seed - II,0.72M,"March 28, 2018",,,,
Slice Labs,https://slice.is,12,6,35.5M,Series A - II,20M,"September 26, 2018",,,,
Bnext,https://bnext.es,19,10,47.7M,Series A - V,4.5M,"May 6, 2022",$79.59M,November 2019,,
Finmatics,https://finmatics.com,2,3,7.48M,Series A,6.32M,"March 15, 2023",,,,
Exyn Technologies,https://exyn.com,12,9,61.18M,Series B - III,5M,"July 3, 2024",$107.3M,December 2022,2021,4.3M
Imagen,https://imagen.ai,8,5,109.32M,Series C,50M,"February 1, 2021",,,,
Opendatasoft,https://opendatasoft.com,11,7,32.1M,Incubator/Accelerator - II,,"March 22, 2023",,,,
MycoWorks,https://mycoworks.com,21,7,224.35M,Series D,37.1M,"June 16, 2023",,,,
BiomEdit,https://biomedit.com,2,2,4.5M,Grant,4.5M,"November 2, 2023",,,,
Apono,https://apono.io,9,4,20.5M,Series A,15.5M,"September 30, 2024",,,,
Amira Learning,https://amiralearning.com,9,6,43.64M,Series C,20M,"April 22, 2022",,,,
Blooma,https://blooma.ai,8,6,23.75M,Incubator/Accelerator,,"September 10, 2024",,,,
Kymeta,https://kymetacorp.com,14,14,471.41M,Debt,20M,"September 5, 2024",,,,
AutoFi,https://autofi.com,12,10,129.48M,Series C,85M,"March 7, 2022",,,,
Centrifuge,https://centrifuge.io,40,8,32.42M,Series A,15M,"April 17, 2024",,,,
Stackshine,https://stackshine.com,2,2,500K,Acquired,,"August 8, 2023",,,,
Oloid,https://oloid.ai,7,3,17M,Series A,12M,"December 20, 2021",,,,
Viisights,https://viisights.com,8,3,21.2M,Series B,10M,"February 24, 2022",,,,
Emissary,https://emissary.mx,1,1,100K,Pre-Seed,0.1M,"April 11, 2022",,,,
TRES,https://tres.rw,1,,,Acq - Fin,,"May 9, 2024",,,,
Swingvy,https://swingvy.com,6,4,8.1M,Series A - II,,"July 27, 2023",,,,
AllPlants,https://allplants.com,18,5,68.85M,Series B - II,2.28M,"June 25, 2024",,,,
Invesdor,https://invesdor.com,9,9,6.72M,Convertible Note,2.11M,"July 13, 2022",,,,
Toposens,https://toposens.com,11,9,2.8M,Asset Sale,,"February 28, 2023",,,,
P97,https://p97.com,8,8,131.45M,Line of Credit,10M,"April 30, 2024",,,,
GamerSafer,https://gamersafer.com,12,4,1.7M,Incubator/Accelerator,,"September 26, 2021",,,,
Nomba,https://nomba.com,10,6,35.12M,Series A - II,30M,"May 2, 2023",,,,
Volumez,https://volumez.com,6,4,40M,Series A - II,20M,"July 9, 2024",,,,
Seven Starling,https://sevenstarling.com,14,6,15.35M,Series A,10.9M,"May 17, 2024",,,,
ThingTrax,https://thingtrax.com,12,6,8.62M,Seed VC - III,5.55M,"July 20, 2023",,,,
Eclypsium,https://eclypsium.com,13,7,81.77M,Series B - II,19.72M,"September 20, 2024",,,,
GridRival,https://gridrival.com,5,6,8.06M,Debt - III,0.55M,"July 3, 2024",,,,
Multiverse,https://multiverse.net,1,3,4.43M,Dead,,"December 7, 2011",,,,
Skyfri,https://skyfri.com,8,2,5.25M,Series A,5.25M,"August 15, 2022",,,,
Nezasa,https://nezasa.com,13,6,22.25M,Series B - II,4.7M,"July 26, 2023",,,,
NOMAD Transportable Power Systems,https://nomadpower.com,,2,1.43M,Unattributed - II,0.49M,"September 13, 2023",,,,
Osigu,https://osigu.com,3,2,9.24M,Seed VC - II,1.74M,"March 28, 2023",,,,
Zeta,https://askzeta.com,5,4,1.5M,Incubator/Accelerator - III,,"March 24, 2021",,,,
Vectice,https://vectice.com,5,2,15.6M,Series A,12.6M,"January 18, 2022",,,,
Podcastle,https://podcastle.ai,9,4,22.45M,Series A,13.5M,"February 1, 2024",,,,
Terradepth,https://terradepth.com,9,7,28.35M,Biz Plan Competition,,"February 14, 2023",,,,
OMNi,https://omni.cr,1,,,Other Investors,,,,,,
Infraspeak,https://infraspeak.com,10,7,24.83M,Series A - II,8.28M,"July 25, 2023",,,,
Ello,https://ello.co,12,7,13.72M,Convertible Note - II,0.03M,"February 11, 2020",,,,
Codacy,https://codacy.com,9,5,29.4M,Series B,15M,"September 22, 2022",,,,
Treet,https://treet.fi,1,1,1.18M,Seed VC,1.18M,"September 14, 2020",,,,
Helix,https://helix.com,10,4,283.9M,Grant - II,0.9M,"December 23, 2021",,,,
EstateGuru,https://estateguru.co,8,7,11.14M,Convertible Note,1.66M,"April 27, 2022",$33.61M,June 2020,,
Jina AI,https://jina.ai,6,3,38M,Series A,30M,"November 22, 2021",,,,
Mooncard,https://mooncard.co,6,4,71.12M,Series B,40.6M,"April 18, 2023",,,,
Remedee Labs,https://remedee.com,9,5,28.07M,Series B,13.35M,"December 6, 2022",,,,
EnTouch Controls,https://entouchcontrols.com,10,10,30.38M,Convertible Note,0.73M,"July 12, 2024",,,,
Picus Security,https://picussecurity.com,12,6,76M,Series C,45M,"September 19, 2024",$94M,May 2022,,
Moment,https://shopmoment.com,5,6,6.4M,Loan,0.68M,"April 15, 2020",,,,
accessiBe,https://accessibe.com,3,4,58M,Series A - IV,30M,"August 21, 2022",,,,
Once Upon a Farm,https://onceuponafarmorganics.com,6,6,107.63M,Series D,52M,"March 9, 2022",,,,
Multiomic Health,https://multiomic.health,5,2,6.2M,Seed VC,6.2M,"May 4, 2023",,,,
CrowdRiff,https://crowdriff.com,7,2,11M,Series A,9M,"October 4, 2018",,,,
Upvest,https://upvest.co,14,8,93.49M,Series B - II,31.83M,"October 11, 2023",,,,
Komodo Health,https://komodohealth.com,13,8,515M,Unattributed,200M,"November 1, 2022","$3,300M",March 2021,,
Hang,https://jointhenow.com,1,1,20K,Seed,0.02M,"August 1, 2016",,,,
Casai,https://casai.com,9,7,53M,Dead,,"July 28, 2023",,,,
Sidekick,https://sidekick.video,1,1,130K,Seed,0.13M,"August 25, 2020",,,,
Trella,https://trella.app,21,11,52.25M,Incubator/Accelerator - II,,"April 11, 2023",,,,
Velocity Global,https://velocityglobal.com,3,2,500M,Series B,400M,"May 19, 2022",,,2022,200M
OhmConnect,https://ohmconnect.com,20,10,84.71M,Series D,55M,"June 9, 2022",,,,
TravelTriangle,https://traveltriangle.com,6,7,60.15M,Series D,13M,"November 18, 2019",,,,
Evinced,https://evinced.com,5,3,55M,Series B,38M,"June 23, 2022",,,,
Viome,https://viome.com,15,11,317.46M,Series D,25M,"September 9, 2024",,,,
Zaptic,https://zaptic.com,8,3,10M,Incubator/Accelerator,,"February 8, 2024",,,,
Waterplan,https://waterplan.com,18,7,28.67M,Incubator/Accelerator - II,0.15M,"June 26, 2024",,,,
Wildflower Health,https://wildflowerhealth.com,12,7,42.31M,Series D,26M,"March 8, 2022",,,,
Talkdesk,https://talkdesk.com,19,11,504.77M,Series D,230M,"August 12, 2021","$3,000M",July 2020,2020,124M
Zeta Energy,https://zetaenergy.com,3,4,27M,Grant - II,,"February 8, 2024",,,,
Mozio,https://mozio.com,23,5,5.17M,Seed VC,4.42M,"July 5, 2016",,,,
Loginno,https://loginno.com,2,,,Incubator/Accelerator,,"April 30, 2023",,,,
Bimaplan,https://bimaplan.co,29,5,6.63M,Seed VC - IV,3.5M,"November 7, 2023",,,,
Healthie,https://gethealthie.com,13,6,41.73M,Series B,23M,"October 15, 2024",,,,
The Rounds,https://therounds.com,8,8,7.76M,Series A - II,1.19M,"February 7, 2023",$5.2M,March 2016,,
Baton Systems,https://batonsystems.com,5,3,16M,Series A - II,4M,"December 2, 2019",,,,
Trybe,https://werave.co,1,1,30K,Seed,0.03M,"January 16, 2017",,,,
Orbion Space Technology,https://orbionspace.com,9,8,41.67M,Debt - III,1.98M,"September 20, 2024",,,,
Podium Education,https://podiumeducation.com,6,3,36.5M,Series B,20M,"December 1, 2021",,,,
Detect Technologies,https://detecttechnologies.com,14,11,15.3M,Series B - II,,"July 14, 2022",,,,
Shoreline Biosciences,https://shorelinebio.com,18,3,183M,Series B,140M,"November 3, 2021",,,,
The Helper Bees,https://thehelperbees.com,10,7,27.82M,Series B - II,7M,"April 18, 2023",,,,
Codoxo,https://codoxo.com,11,7,34.32M,Series B - II,5.25M,"May 27, 2022",,,,
VerImmune,https://verimmune.com,11,5,10.62M,Seed VC - III,4.5M,"September 23, 2024",,,,
Ackcio,https://ackcio.com,10,3,3.03M,Series A,3M,"September 16, 2021",,,,
SupportLogic,https://supportlogic.com,10,6,67.8M,Line of Credit,,"November 3, 2022",,,,
Armut,https://armut.com,2,3,18.07M,Unattributed,14.87M,"September 7, 2022",,,,
EasyKnock,https://easyknock.com,21,13,430.58M,Series D - II,28M,"February 28, 2024",,,,
Birdseye,https://birdseyeglobal.com,1,2,3.5M,Seed VC,3M,"November 22, 2023",,,,
Parity,https://paritygo.com,7,6,28.67M,Series B - II,13.21M,"June 11, 2024",,,,
Quip,https://quip.com,7,3,46M,Acquired,,"August 1, 2016",,,,
Hightouch,https://hightouch.com,13,6,92.3M,Series C,38M,"July 19, 2023",$450M,November 2021,,
Paire,https://,,1,660K,Seed,0.66M,"September 30, 2019",,,,
Splitwise,https://splitwise.com,12,9,30.75M,Series A - III,20M,"April 28, 2021",,,,
Mux,https://mux.com,25,6,173.92M,Series D,105M,"April 30, 2021",$12M,August 2016,,
Kayrros,https://kayrros.com,14,6,78.03M,Series C,44.09M,"March 22, 2022",,,,
Shakudo,https://shakudo.io,14,3,10.6M,Series A,7.2M,"July 5, 2023",,,,
GAIIA,https://gaiia.tech,1,,,Incubator/Accelerator,,"July 4, 2017",,,,
Talkiatry,https://talkiatry.com,10,7,225.13M,Series C,,"June 18, 2024",$483M,September 2023,,
Pixxel,https://pixxel.space,23,11,73.77M,Incubator/Accelerator - II,,"June 6, 2024",,,,
equipifi,https://equipifi.com,9,5,18.01M,Incubator/Accelerator,,"August 10, 2022",,,,
Claravine,https://claravine.com,8,7,31.18M,Series B - II,2.3M,"June 23, 2023",,,,
NephroPlus,https://nephroplus.com,7,9,200.24M,Private Equity,101.81M,"May 6, 2024",,,,
IrriGreen,https://irrigreen.com,12,5,16.35M,Seed VC - II,15M,"March 29, 2023",$16.6M,July 2021,,
Dewpoint Therapeutics,https://dewpointx.com,18,4,287M,Grant,,"January 16, 2024",,,,
AttackIQ,https://attackiq.com,10,8,80.9M,Series C,44M,"May 13, 2021",,,,
AudioShake,https://audioshake.ai,26,5,4.7M,Incubator/Accelerator - II,,"September 17, 2024",,,,
Chain Reaction,https://chain-reaction.io,8,3,115M,Series C,70M,"February 23, 2023",,,,
UpWave,https://upwave.io,1,1,140K,Angel,0.14M,"November 9, 2016",,,,
Gray Matter Analytics,https://graymatteranalytics.com,1,2,1.18M,Loan,0.68M,"April 6, 2020",,,,
Savonix,https://savonix.com,14,6,16.88M,Loan,0.68M,"April 12, 2020",,,,
mPulse Mobile,https://mpulsemobile.com,12,8,41.7M,Series D,,"January 10, 2022",,,,
LeaseCake,https://leasecake.com,5,6,25.1M,Series A - II,,"April 9, 2024",,,,
Taplytics,https://taplytics.com,15,6,9.7M,Series B,3.93M,"March 16, 2022",,,,
Manifold Bio,https://manifold.bio,6,4,45.4M,Series A,40M,"June 13, 2022",,,,
Wevr,https://wevr.com,20,12,52.38M,Corporate Minority - II,3.5M,"June 5, 2024",$66.67M,July 2015,,
Jobbatical,https://jobbatical.com,24,6,19.56M,Series C,11.67M,"September 9, 2022",,,,
Neo Financial,https://neofinancial.com,19,6,236.45M,Incubator/Accelerator,,"July 18, 2024",$784.8M,May 2022,,
Cladwell,https://cladwell.com,5,4,3.65M,Acquired,,"November 13, 2019",$1.5M,October 2013,,
AirEye,https://aireye.tech,2,1,8M,Series A,8M,"April 22, 2021",,,,
Riiid,https://riiid.com,26,11,257.01M,Grant - II,0.12M,"August 2, 2021",$88.17M,June 2019,,
Pave,https://pave.com,18,6,162.98M,Series C,100M,"June 28, 2022",$400M,August 2021,,
NEON,https://neondao.xyz,1,,,Other Investors,,,,,,
DAMAE Medical,https://damae-medical.com,9,5,7.87M,Series A,5.72M,"February 4, 2022",,,,
Mobius Motors,https://mobiusmotors.com,7,7,5M,Asset Sale,,"August 14, 2024",,,,
Ultraviolette,https://ultraviolette.com,5,7,61.21M,Series D - II,24M,"November 22, 2022",$300M,August 2022,,
Kotani Pay,https://kotanipay.com,4,2,2M,Pre-Seed,2M,"September 5, 2023",,,,
Axonius,https://axonius.com,19,9,595M,Series E - II,200M,"March 5, 2024","$2,600M",March 2022,2021,10M
Amenitiz,https://amenitiz.com,11,3,38.18M,Series A,30M,"April 5, 2022",,,,
@Stake,https://,3,3,36M,Acquired,,"October 8, 2004",,,,
Tajir,https://tajir-app.com,13,4,18.95M,Series A,17M,"June 3, 2021",,,,
Iterable,https://iterable.com,21,10,342.9M,Unattributed VC,0.5M,"February 1, 2022","$2,000M",June 2021,,
Waterdrop,https://waterdrop.com,15,7,80.88M,Corporate Minority,12.34M,"September 23, 2024",,,,
Ditto,https://ditto.com,7,8,10.5M,Acquired - II,,"October 19, 2023",,,,
Laguna Health,https://lagunahealth.com,8,4,21.6M,Series A,15M,"May 16, 2023",,,,
Base,https://base.co.id,7,4,6.14M,Series A,6M,"November 4, 2022",,,,
Bungalow,https://livebungalow.com,1,,,Other Investors,,,,,,
Devron,https://devron.ai,4,2,15M,Series A,12M,"February 9, 2022",,,,
BlastPoint,https://blastpoint.com,10,12,10.34M,Seed VC - II,8.91M,"May 25, 2023",,,,
Booster,https://boostertech.cn,7,,,Series B,,"January 5, 2024",,,,
@Motion,https://,6,4,13.65M,Merger,,"March 20, 2000",,,,
Swell,https://swell.is,16,3,23.45M,Series A,20M,"January 13, 2022",,,,
Rhino Health,https://rhinohealth.com,6,4,16.05M,Seed VC - III,4.35M,"July 24, 2023",$36.7M,April 2022,,
GoodsMart,https://goodsmartegypt.com,2,3,4.35M,Series B,3.6M,"July 27, 2021",,,,
INVISION,https://invisioninc.com,6,4,43.5M,Acquired,,"July 7, 2016",,,,
AvoMD,https://avomd.io,16,6,5.25M,Seed VC - II,5M,"June 23, 2023",,,,
Kinetica,https://kineticadynamics.com,1,,,Other Investors,,,,,,
Instant Financial,https://instant.co,6,7,39.88M,Series C,12.68M,"July 7, 2023",,,,
Modvion,https://modvion.com,11,9,27.2M,Series A - II,6.29M,"May 31, 2024",,,,
Allocate,https://allocate.co,15,4,30.3M,Series A - II,10M,"September 21, 2023",,,,
Hello Divorce,https://hellodivorce.com,11,3,5.26M,Seed VC - III,,"September 11, 2023",,,,
Luminate Medical,https://luminatemed.com,13,8,25.19M,Series A,15M,"May 14, 2024",,,,
Hakimo,https://hakimo.ai,9,2,10M,Seed VC - II,6M,"April 25, 2023",,,,
Fraction,https://fraction.co,4,1,3M,Seed VC,3M,"January 17, 2022",,,,
Next Gen Foods,https://nextgenfoods.sg,18,5,132.2M,Series A - II,,"June 22, 2023",,,,
TravClan,https://travclan.com,9,2,6.9M,Seed,4.7M,"April 28, 2022",,,,
Curate,https://curate.co,7,3,1.95M,Seed VC - II,1.25M,"June 18, 2021",,,,
Blavity,https://blavity.com,6,4,9.61M,Series A,6.5M,"July 20, 2018",,,,
CareAcademy,https://careacademy.com,20,9,32.39M,Series B,20M,"June 8, 2022",,,,
Vivoo,https://vivoo.io,17,10,7.36M,Series A,6M,"October 5, 2021",,,,
Gig Wage,https://gigwage.com,9,7,14.37M,Incubator/Accelerator - II,,"May 2, 2024",,,,
Base,https://base.co.id,7,4,6.14M,Series A,6M,"November 4, 2022",,,,
Pulley,https://pulley.com,19,4,54.9M,Series B,40M,"July 13, 2022",,,,
Tigerhall,https://tigerhall.com,7,4,11.8M,Series A,7M,"December 2, 2021",,,,
BeAM,https://beam-machines.fr,7,3,4.49M,Acquired,,"June 15, 2018",,,,
Vetted,https://vetted.ro,2,2,120K,Convertible Note,0.06M,"June 14, 2019",,,,
Ochre Bio,https://ochre-bio.com,18,6,39.87M,Series A,30M,"October 10, 2022",,,,
BitFury,https://bitfury.com,22,6,170M,Series D,80M,"November 6, 2018",,,,
Team SoloMid,https://tsm.gg,10,2,37M,Angel,,"October 15, 2019",$140M,January 2018,,
Medal,https://medal.com,7,2,3.78M,Acquired,,"July 28, 2020",,,,
Ivix,https://libicore.info,1,,,Acquired,5M,"May 14, 2020",,,,
myKaarma,https://mykaarma.com,2,2,15M,Growth Equity,,"April 5, 2022",,,,
Exporo,https://exporo.de,7,5,86.07M,Series D,19.43M,"January 19, 2021",,,,
Mosa Meat,https://mosameat.com,23,11,136.56M,Series C,42.43M,"April 16, 2024",,,,
Anagenex,https://anagenex.com,8,2,38.7M,Series A,38.7M,"June 8, 2022",,,,
Nalu Medical,https://nalumed.com,12,8,246.6M,Series E - II,20M,"March 5, 2024",,,,
MOVO,https://movo.cash,5,7,11.27M,Debt - III,1.49M,"May 28, 2021",,,,
Stenon,https://stenon.io,4,2,20M,Series A,20M,"December 20, 2021",,,,
Insilico Medicine,https://insilico.com,31,12,402M,Grant,0.7M,"November 22, 2022",$895M,August 2022,,
AutoLeap,https://autoleap.com,12,4,54.15M,Series B,30M,"April 11, 2023",,,,
Intron Health,https://intron.io,10,3,1.6M,Pre-Seed,1.6M,"July 25, 2024",,,,
Levelpath,https://levelpath.com,5,2,44.5M,Series A,30M,"September 18, 2023",,,,
LiveEO,https://live-eo.com,19,11,62.52M,Series B - II,26.79M,"June 25, 2024",,,,
Oni,https://oni.pt,3,,,Acquired,,"November 10, 2020",,,,
Roadrunner,https://roadrunnerwm.com,13,8,199.44M,Series D - II,20M,"November 15, 2022",,,,
Fishbrain,https://fishbrain.com,22,11,74.26M,Series D,6M,"August 7, 2023",,,2018,4.64M
